Industry,Indentation Level,Main Category
"Private Educational Services,4833.33,5158.33,5166.67,4600.0,4241.67,4000.0,3933.33,3858.33,3791.67,3941.67,3633.33,3908.33,4433.33,4891.67,4733.33",4,"Private Educational Services,4833.33,5158.33,5166.67,4600.0,4241.67,4000.0,3933.33,3858.33,3791.67,3941.67,3633.33,3908.33,4433.33,4891.67,4733.33"
"Health Care and Social Assistance,46525.0,46675.0,47858.33,50500.0,52450.0,55991.67,59941.67,63350.0,65483.33,68558.33,68100.0,70900.0,74400.0,78525.0,68109.03",4,"Health Care and Social Assistance,46525.0,46675.0,47858.33,50500.0,52450.0,55991.67,59941.67,63350.0,65483.33,68558.33,68100.0,70900.0,74400.0,78525.0,68109.03"
"Ambulatory Health Care Services,14108.33,14225.0,14591.67,15241.67,15500.0,16475.0,17416.67,18008.33,18450.0,19691.67,19450.0,21250.0,22341.67,23241.67,20222.22",6,"Health Care and Social Assistance,46525.0,46675.0,47858.33,50500.0,52450.0,55991.67,59941.67,63350.0,65483.33,68558.33,68100.0,70900.0,74400.0,78525.0,68109.03"
"Hospitals,10291.67,10400.0,10850.0,11216.67,11916.67,12458.33,13366.67,13925.0,14158.33,14300.0,14150.0,14641.67,15283.33,16283.33,14339.58",6,"Health Care and Social Assistance,46525.0,46675.0,47858.33,50500.0,52450.0,55991.67,59941.67,63350.0,65483.33,68558.33,68100.0,70900.0,74400.0,78525.0,68109.03"
"Nursing and Residential Care Facilities,6541.67,6983.33,7166.67,7250.0,7300.0,7516.67,7550.0,7600.0,8008.33,8141.67,8100.0,7708.33,7725.0,7658.33,7528.47",6,"Health Care and Social Assistance,46525.0,46675.0,47858.33,50500.0,52450.0,55991.67,59941.67,63350.0,65483.33,68558.33,68100.0,70900.0,74400.0,78525.0,68109.03"
"Social Assistance,15583.33,15066.67,15250.0,16791.67,17733.33,19541.67,21608.33,23816.67,24866.67,26425.0,26400.0,27300.0,29050.0,31341.67,26018.75",6,"Health Care and Social Assistance,46525.0,46675.0,47858.33,50500.0,52450.0,55991.67,59941.67,63350.0,65483.33,68558.33,68100.0,70900.0,74400.0,78525.0,68109.03"
"Leisure and Hospitality,26783.33,27108.33,28016.67,28975.0,30575.0,31425.0,32766.67,33766.67,34533.33,35708.33,28758.33,32850.0,36900.0,38025.0,34113.19",3,"Health Care and Social Assistance,46525.0,46675.0,47858.33,50500.0,52450.0,55991.67,59941.67,63350.0,65483.33,68558.33,68100.0,70900.0,74400.0,78525.0,68109.03"
"Accommodation and Food Services,23833.33,24208.33,24833.33,25791.67,27166.67,27983.33,29333.33,30233.33,30875.0,32033.33,26533.33,29625.0,32600.0,33083.33,29702.78",4,"Accommodation and Food Services,23833.33,24208.33,24833.33,25791.67,27166.67,27983.33,29333.33,30233.33,30875.0,32033.33,26533.33,29625.0,32600.0,33083.33,29702.78"
"Food Services and Drinking Places,21666.67,21983.33,22725.0,23708.33,25125.0,25891.67,27066.67,27658.33,28291.67,29291.67,24583.33,27466.67,30216.67,30558.33,27542.36",5,"Accommodation and Food Services,23833.33,24208.33,24833.33,25791.67,27166.67,27983.33,29333.33,30233.33,30875.0,32033.33,26533.33,29625.0,32600.0,33083.33,29702.78"
"Other Services,9975.0,10125.0,10608.33,10916.67,11216.67,11533.33,11741.67,11758.33,11875.0,12116.67,11108.33,12000.0,12975.0,14183.33,12936.81",3,"Accommodation and Food Services,23833.33,24208.33,24833.33,25791.67,27166.67,27983.33,29333.33,30233.33,30875.0,32033.33,26533.33,29625.0,32600.0,33083.33,29702.78"
"Government,67066.67,65733.33,64091.67,64166.67,66258.33,68675.0,70958.33,72608.33,74533.33,75183.33,72483.33,70908.33,73583.33,76133.33,73176.39",3,"Accommodation and Food Services,23833.33,24208.33,24833.33,25791.67,27166.67,27983.33,29333.33,30233.33,30875.0,32033.33,26533.33,29625.0,32600.0,33083.33,29702.78"
"Federal Government,10691.67,10175.0,10191.67,9941.67,9791.67,9583.33,9825.0,9816.67,9958.33,10066.67,10841.67,10108.33,9591.67,9591.67,9815.97",4,"Federal Government,10691.67,10175.0,10191.67,9941.67,9791.67,9583.33,9825.0,9816.67,9958.33,10066.67,10841.67,10108.33,9591.67,9591.67,9815.97"
"Total State and Local Government,56375.0,55558.33,53900.0,54225.0,56466.67,59091.67,61133.33,62791.67,64575.0,65116.67,61641.67,60800.0,63991.67,66541.67,63360.42",4,"Total State and Local Government,56375.0,55558.33,53900.0,54225.0,56466.67,59091.67,61133.33,62791.67,64575.0,65116.67,61641.67,60800.0,63991.67,66541.67,63360.42"
"State Government,10491.67,10675.0,10541.67,10608.33,11366.67,11866.67,12125.0,12375.0,12633.33,12783.33,12491.67,12091.67,12383.33,12566.67,11998.61",4,"State Government,10491.67,10675.0,10541.67,10608.33,11366.67,11866.67,12125.0,12375.0,12633.33,12783.33,12491.67,12091.67,12383.33,12566.67,11998.61"
"State Government Educational Services,2958.33,3158.33,3141.67,3266.67,3441.67,3583.33,3733.33,3900.0,3966.67,3866.67,3600.0,3300.0,3566.67,3683.33,3513.89",8,"State Government,10491.67,10675.0,10541.67,10608.33,11366.67,11866.67,12125.0,12375.0,12633.33,12783.33,12491.67,12091.67,12383.33,12566.67,11998.61"
"Local Government,45883.33,44883.33,43358.33,43616.67,45100.0,47225.0,49008.33,50416.67,51941.67,52333.33,49150.0,48708.33,51608.33,53975.0,51361.8",5,"State Government,10491.67,10675.0,10541.67,10608.33,11366.67,11866.67,12125.0,12375.0,12633.33,12783.33,12491.67,12091.67,12383.33,12566.67,11998.61"
"Local Government Educational Services,29400.0,29250.0,28750.0,28741.67,29741.67,31350.0,32658.33,33983.33,35366.67,35541.67,32666.67,32558.33,34966.67,36725.0,34515.28",6,"State Government,10491.67,10675.0,10541.67,10608.33,11366.67,11866.67,12125.0,12375.0,12633.33,12783.33,12491.67,12091.67,12383.33,12566.67,11998.61"
"Local Government excluding Educational Services,16483.33,15633.33,14608.33,14875.0,15358.33,15875.0,16350.0,16433.33,16575.0,16791.67,16483.33,16150.0,16641.67,17250.0,16846.53",5,"State Government,10491.67,10675.0,10541.67,10608.33,11366.67,11866.67,12125.0,12375.0,12633.33,12783.33,12491.67,12091.67,12383.33,12566.67,11998.61"
"County Government,7466.67,7133.33,6575.0,6783.33,6883.33,7166.67,7533.33,7533.33,7700.0,7950.0,8125.0,7916.67,7808.33,7783.33,7620.14",6,"State Government,10491.67,10675.0,10541.67,10608.33,11366.67,11866.67,12125.0,12375.0,12633.33,12783.33,12491.67,12091.67,12383.33,12566.67,11998.61"
"City Government,5383.33,5016.67,4791.67,4750.0,4958.33,5033.33,5308.33,5583.33,5750.0,5775.0,5625.0,5716.67,6000.0,6366.67,5958.33",6,"State Government,10491.67,10675.0,10541.67,10608.33,11366.67,11866.67,12125.0,12375.0,12633.33,12783.33,12491.67,12091.67,12383.33,12566.67,11998.61"
"Special Districts plus Tribes,3633.33,3483.33,3241.67,3341.67,3516.67,3675.0,3508.33,3316.67,3125.0,3066.67,2733.33,2516.67,2833.33,3100.0,3268.06",6,"State Government,10491.67,10675.0,10541.67,10608.33,11366.67,11866.67,12125.0,12375.0,12633.33,12783.33,12491.67,12091.67,12383.33,12566.67,11998.61"
"TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average",0,
"Civilian Labor Force,13241.67,13157.5,13130.0,12950.83,12784.17,12964.17,12949.17,12804.17,12767.5,12987.5,12760.83,12601.67,12757.5,12790.83,12813.68",0,
"Civilian Employment,11152.5,11081.67,11238.33,11365.0,11405.0,11828.33,11868.33,11840.83,11927.5,12183.33,11612.5,11716.67,12062.5,11989.17,11529.38",1,
"Civilian Unemployment,2091.67,2077.5,1892.5,1585.83,1378.33,1137.5,1082.5,962.5,840.0,804.17,1147.5,885.83,695.0,804.17,1282.99",1,
"Civilian Unemployment Rate,0.16,0.16,0.14,0.12,0.11,0.09,0.08,0.08,0.07,0.06,0.09,0.07,0.05,0.06,0.1",0,
"Total Wage and Salary,8197.5,8157.5,8305.0,8485.0,8540.83,8967.5,9055.83,9097.5,9230.83,9670.83,9413.33,9490.0,9809.17,9795.0,9092.15",0,
"Total Farm,1927.5,1988.33,2098.33,2199.17,2173.33,2271.67,2155.0,2214.17,2253.33,2441.67,2430.0,2250.83,2215.0,2191.67,2109.72",1,
"Total Nonfarm,6270.0,6169.17,6206.67,6285.83,6367.5,6695.83,6900.83,6883.33,6977.5,7229.17,6983.33,7239.17,7594.17,7603.33,6982.43",1,
"Total Private,4061.67,4039.17,4125.83,4233.33,4330.0,4656.67,4837.5,4799.17,4877.5,5072.5,4978.33,5184.17,5446.67,5317.5,4736.67",2,
"Goods Producing,829.17,816.67,750.0,770.0,847.5,942.5,932.5,975.83,1041.67,1100.83,1100.83,1142.5,1212.5,1170.0,953.61",2,
"""      Mining, Logging and Construction"",260.83,259.17,228.33,225.0,243.33,290.0,286.67,314.17,333.33,360.0,379.17,356.67,356.67,334.17,294.72",0,
"Manufacturing,568.33,557.5,521.67,545.0,604.17,652.5,642.5,665.0,713.33,741.67,726.67,785.83,854.17,835.0,662.22",3,
"Durable Goods,356.67,332.5,310.0,323.33,359.17,372.5,375.0,380.0,412.5,418.33,457.5,515.0,553.33,492.5,390.97",4,"Durable Goods,356.67,332.5,310.0,323.33,359.17,372.5,375.0,380.0,412.5,418.33,457.5,515.0,553.33,492.5,390.97"
"Non-Durable Goods,211.67,225.0,211.67,221.67,245.0,280.0,268.33,284.17,300.83,324.17,268.33,271.67,302.5,342.5,271.25",4,"Non-Durable Goods,211.67,225.0,211.67,221.67,245.0,280.0,268.33,284.17,300.83,324.17,268.33,271.67,302.5,342.5,271.25"
"Service-Providing,5440.83,5352.5,5456.67,5515.83,5520.0,5753.33,5970.83,5906.67,5936.67,6126.67,5883.33,6096.67,6382.5,6435.83,6029.65",0,"Non-Durable Goods,211.67,225.0,211.67,221.67,245.0,280.0,268.33,284.17,300.83,324.17,268.33,271.67,302.5,342.5,271.25"
"Private Service Providing,3232.5,3222.5,3375.83,3463.33,3482.5,3714.17,3905.83,3824.17,3834.17,3970.83,3878.33,4040.0,4235.0,4150.83,3783.89",2,"Non-Durable Goods,211.67,225.0,211.67,221.67,245.0,280.0,268.33,284.17,300.83,324.17,268.33,271.67,302.5,342.5,271.25"
"""      Trade, Transportation, and Utilities"",1290.83,1308.33,1380.0,1447.5,1494.17,1609.17,1713.33,1655.83,1635.83,1723.33,1715.0,1792.5,1873.33,1843.33,1638.4",0,"Non-Durable Goods,211.67,225.0,211.67,221.67,245.0,280.0,268.33,284.17,300.83,324.17,268.33,271.67,302.5,342.5,271.25"
"Wholesale Trade,260.83,240.0,236.67,277.5,345.0,365.83,348.33,320.83,328.33,340.0,336.67,334.17,330.83,311.67,293.33",4,"Wholesale Trade,260.83,240.0,236.67,277.5,345.0,365.83,348.33,320.83,328.33,340.0,336.67,334.17,330.83,311.67,293.33"
"Retail Trade,579.17,613.33,698.33,722.5,732.5,795.83,833.33,800.83,803.33,845.0,873.33,972.5,984.17,980.0,848.82",4,"Retail Trade,579.17,613.33,698.33,722.5,732.5,795.83,833.33,800.83,803.33,845.0,873.33,972.5,984.17,980.0,848.82"
"""        Transportation, Warehousing, and Utilities"",450.83,455.0,445.0,447.5,416.67,447.5,533.33,536.67,506.67,537.5,505.83,486.67,559.17,551.67,497.92",0,"Retail Trade,579.17,613.33,698.33,722.5,732.5,795.83,833.33,800.83,803.33,845.0,873.33,972.5,984.17,980.0,848.82"
"Financial Activities,166.67,164.17,135.83,127.5,138.33,147.5,160.0,160.83,158.33,153.33,150.0,159.17,161.67,167.5,155.21",3,"Retail Trade,579.17,613.33,698.33,722.5,732.5,795.83,833.33,800.83,803.33,845.0,873.33,972.5,984.17,980.0,848.82"
"Professional and Business Services,168.33,168.33,157.5,154.17,165.83,234.17,262.5,230.83,225.83,232.5,270.0,242.5,238.33,229.17,201.18",3,"Retail Trade,579.17,613.33,698.33,722.5,732.5,795.83,833.33,800.83,803.33,845.0,873.33,972.5,984.17,980.0,848.82"
"Private Education and Health Services,837.5,865.0,930.0,968.33,910.83,868.33,886.67,885.0,891.67,961.67,949.17,952.5,1022.5,954.17,957.64",3,"Retail Trade,579.17,613.33,698.33,722.5,732.5,795.83,833.33,800.83,803.33,845.0,873.33,972.5,984.17,980.0,848.82"
"Leisure and Hospitality,681.67,641.67,655.83,627.5,634.17,693.33,697.5,689.17,726.67,760.0,653.33,749.17,776.67,795.83,715.07",3,"Retail Trade,579.17,613.33,698.33,722.5,732.5,795.83,833.33,800.83,803.33,845.0,873.33,972.5,984.17,980.0,848.82"
"Government,2208.33,2130.0,2080.83,2052.5,2037.5,2039.17,2065.83,2085.0,2101.67,2157.5,2005.83,2055.83,2147.5,2286.67,2245.76",3,"Retail Trade,579.17,613.33,698.33,722.5,732.5,795.83,833.33,800.83,803.33,845.0,873.33,972.5,984.17,980.0,848.82"
"Federal Government,290.83,277.5,268.33,237.5,230.83,224.17,210.83,206.67,195.83,195.0,195.0,176.67,178.33,177.5,215.42",4,"Federal Government,290.83,277.5,268.33,237.5,230.83,224.17,210.83,206.67,195.83,195.0,195.0,176.67,178.33,177.5,215.42"
"Total State and Local Government,1917.5,1852.5,1812.5,1815.0,1806.67,1815.0,1854.17,1879.17,1905.83,1963.33,1811.67,1880.0,1970.0,2109.17,2030.35",4,"Total State and Local Government,1917.5,1852.5,1812.5,1815.0,1806.67,1815.0,1854.17,1879.17,1905.83,1963.33,1811.67,1880.0,1970.0,2109.17,2030.35"
"State Government,82.5,89.17,82.5,79.17,80.0,80.0,79.17,80.0,78.33,80.0,80.0,66.67,61.67,62.5,70.28",5,"Total State and Local Government,1917.5,1852.5,1812.5,1815.0,1806.67,1815.0,1854.17,1879.17,1905.83,1963.33,1811.67,1880.0,1970.0,2109.17,2030.35"
"Local Government,1835.0,1763.33,1730.0,1735.83,1726.67,1735.0,1780.83,1800.0,1830.83,1884.17,1730.0,1814.17,1910.0,2045.83,1960.07",5,"Total State and Local Government,1917.5,1852.5,1812.5,1815.0,1806.67,1815.0,1854.17,1879.17,1905.83,1963.33,1811.67,1880.0,1970.0,2109.17,2030.35"
"TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average",0,
"Civilian Labor Force,66075.0,64941.67,64133.33,62833.33,62225.0,62291.67,62416.67,62500.0,62533.33,62133.33,59750.0,58783.33,59100.0,59950.0,61867.36",0,
"Civilian Employment,58941.67,58008.33,57883.33,57658.33,58033.33,58775.0,59333.33,59841.67,60266.67,59866.67,54666.67,55083.33,56700.0,57166.67,57552.08",1,
"Civilian Unemployment,7133.33,6941.67,6250.0,5141.67,4191.67,3500.0,3091.67,2633.33,2266.67,2266.67,5108.33,3716.67,2391.67,2750.0,4304.86",1,
"Civilian Unemployment Rate,0.11,0.11,0.1,0.08,0.07,0.06,0.05,0.04,0.04,0.04,0.09,0.06,0.04,0.05,0.07",0,
"""Total, All Industries"",47708.33,46833.33,46775.0,47008.33,47658.33,48650.0,49733.33,50666.67,51400.0,51850.0,47816.67,48358.33,50166.67,51000.0,49740.28",0,
"Total Farm,800.0,858.33,866.67,808.33,816.67,866.67,883.33,850.0,883.33,1008.33,1216.67,1350.0,1050.0,875.0,854.17",1,
"Total Nonfarm,46908.33,45975.0,45908.33,46200.0,46841.67,47783.33,48850.0,49816.67,50516.67,50841.67,46600.0,47008.33,49116.67,50125.0,48886.11",1,
"Total Private,33266.67,32475.0,32408.33,32758.33,33108.33,33858.33,34675.0,35500.0,36175.0,36366.67,33141.67,33933.33,35066.67,35325.0,34384.72",2,
"Goods Producing,4225.0,4208.33,4058.33,4016.67,4016.67,4100.0,4133.33,4375.0,4591.67,4741.67,4658.33,5091.67,5183.33,5258.33,4760.42",2,
"""     Mining, Logging, and Construction"",2100.0,2133.33,2058.33,1958.33,1941.67,2066.67,2066.67,2333.33,2491.67,2566.67,2541.67,2641.67,2791.67,2883.33,2549.31",0,
"Mining and Logging,375.0,383.33,358.33,358.33,341.67,316.67,316.67,383.33,408.33,391.67,350.0,350.0,350.0,366.67,376.39",3,
"Construction,1725.0,1750.0,1700.0,1600.0,1600.0,1750.0,1750.0,1950.0,2083.33,2175.0,2191.67,2291.67,2441.67,2516.67,2172.92",3,
"Manufacturing,2125.0,2075.0,2000.0,2058.33,2075.0,2033.33,2066.67,2041.67,2108.33,2200.0,2100.0,2441.67,2400.0,2366.67,2236.11",3,
"Durable Goods,1258.33,1158.33,1100.0,1108.33,1083.33,1008.33,1000.0,1033.33,1058.33,1100.0,1058.33,1191.67,1225.0,1308.33,1242.36",4,"Durable Goods,1258.33,1158.33,1100.0,1108.33,1083.33,1008.33,1000.0,1033.33,1058.33,1100.0,1058.33,1191.67,1225.0,1308.33,1242.36"
"Non-Durable Goods,866.67,916.67,900.0,950.0,991.67,1025.0,1091.67,1016.67,1058.33,1108.33,1016.67,1225.0,1133.33,1058.33,968.75",4,"Non-Durable Goods,866.67,916.67,900.0,950.0,991.67,1025.0,1091.67,1016.67,1058.33,1108.33,1016.67,1225.0,1133.33,1058.33,968.75"
"Service-Providing,42683.33,41766.67,41850.0,42183.33,42825.0,43683.33,44716.67,45458.33,45941.67,46083.33,41916.67,41925.0,43933.33,44875.0,44117.36",3,"Non-Durable Goods,866.67,916.67,900.0,950.0,991.67,1025.0,1091.67,1016.67,1058.33,1108.33,1016.67,1225.0,1133.33,1058.33,968.75"
"Private Service Providing,29041.67,28266.67,28350.0,28741.67,29091.67,29758.33,30558.33,31125.0,31583.33,31608.33,28475.0,28833.33,29883.33,30041.67,29607.64",2,"Non-Durable Goods,866.67,916.67,900.0,950.0,991.67,1025.0,1091.67,1016.67,1058.33,1108.33,1016.67,1225.0,1133.33,1058.33,968.75"
"""      Trade, Transportation, and Utilities"",9116.67,8916.67,9166.67,9200.0,9258.33,9375.0,9541.67,9591.67,9400.0,9283.33,8608.33,8666.67,8741.67,8458.33,8746.53",0,"Non-Durable Goods,866.67,916.67,900.0,950.0,991.67,1025.0,1091.67,1016.67,1058.33,1108.33,1016.67,1225.0,1133.33,1058.33,968.75"
"Wholesale Trade,975.0,1025.0,1033.33,1000.0,983.33,916.67,975.0,991.67,1050.0,1100.0,1075.0,1108.33,1158.33,1091.67,1059.72",4,"Wholesale Trade,975.0,1025.0,1033.33,1000.0,983.33,916.67,975.0,991.67,1050.0,1100.0,1075.0,1108.33,1158.33,1091.67,1059.72"
"Retail Trade,6941.67,6733.33,6841.67,6916.67,7008.33,7225.0,7383.33,7450.0,7225.0,7158.33,6516.67,6516.67,6533.33,6291.67,6545.14",4,"Retail Trade,6941.67,6733.33,6841.67,6916.67,7008.33,7225.0,7383.33,7450.0,7225.0,7158.33,6516.67,6516.67,6533.33,6291.67,6545.14"
"""        Transportation, Warehousing, and Utilities"",1200.0,1158.33,1291.67,1283.33,1266.67,1233.33,1175.0,1158.33,1116.67,1000.0,1025.0,1058.33,1075.0,1083.33,1141.67",0,"Retail Trade,6941.67,6733.33,6841.67,6916.67,7008.33,7225.0,7383.33,7450.0,7225.0,7158.33,6516.67,6516.67,6533.33,6291.67,6545.14"
"Information,600.0,591.67,516.67,500.0,500.0,500.0,425.0,408.33,400.0,400.0,325.0,300.0,333.33,300.0,400.7",3,"Retail Trade,6941.67,6733.33,6841.67,6916.67,7008.33,7225.0,7383.33,7450.0,7225.0,7158.33,6516.67,6516.67,6533.33,6291.67,6545.14"
"Financial Activities,1658.33,1616.67,1600.0,1600.0,1591.67,1625.0,1650.0,1700.0,1775.0,1816.67,1700.0,1666.67,1750.0,1700.0,1647.22",3,"Retail Trade,6941.67,6733.33,6841.67,6916.67,7008.33,7225.0,7383.33,7450.0,7225.0,7158.33,6516.67,6516.67,6533.33,6291.67,6545.14"
"Professional and Business Services,2900.0,2716.67,2650.0,2633.33,2575.0,2700.0,2750.0,2925.0,3325.0,3566.67,3316.67,3166.67,2916.67,2875.0,2772.92",3,"Retail Trade,6941.67,6733.33,6841.67,6916.67,7008.33,7225.0,7383.33,7450.0,7225.0,7158.33,6516.67,6516.67,6533.33,6291.67,6545.14"
"Private Education and Health Services,7700.0,7566.67,7441.67,7766.67,8000.0,8108.33,8483.33,8775.0,8908.33,8916.67,8375.0,8250.0,8608.33,9108.33,8581.25",3,"Retail Trade,6941.67,6733.33,6841.67,6916.67,7008.33,7225.0,7383.33,7450.0,7225.0,7158.33,6516.67,6516.67,6533.33,6291.67,6545.14"
"Leisure and Hospitality,5183.33,4991.67,5133.33,5125.0,5275.0,5566.67,5833.33,5808.33,5766.67,5633.33,4325.0,4825.0,5425.0,5383.33,5292.36",3,"Retail Trade,6941.67,6733.33,6841.67,6916.67,7008.33,7225.0,7383.33,7450.0,7225.0,7158.33,6516.67,6516.67,6533.33,6291.67,6545.14"
"Other Services,1883.33,1866.67,1841.67,1916.67,1891.67,1883.33,1816.67,1900.0,2000.0,2025.0,1866.67,1900.0,2075.0,2233.33,2141.67",3,"Retail Trade,6941.67,6733.33,6841.67,6916.67,7008.33,7225.0,7383.33,7450.0,7225.0,7158.33,6516.67,6516.67,6533.33,6291.67,6545.14"
"Government,13641.67,13500.0,13500.0,13441.67,13733.33,13925.0,14166.67,14325.0,14366.67,14475.0,13466.67,13083.33,14050.0,14808.33,14501.39",3,"Retail Trade,6941.67,6733.33,6841.67,6916.67,7008.33,7225.0,7383.33,7450.0,7225.0,7158.33,6516.67,6516.67,6533.33,6291.67,6545.14"
"Federal Government,900.0,741.67,725.0,708.33,725.0,750.0,783.33,825.0,741.67,758.33,800.0,766.67,791.67,816.67,800.0",4,"Federal Government,900.0,741.67,725.0,708.33,725.0,750.0,783.33,825.0,741.67,758.33,800.0,766.67,791.67,816.67,800.0"
"Total State and Local Government,12741.67,12758.33,12775.0,12733.33,13008.33,13175.0,13375.0,13525.0,13616.67,13716.67,12625.0,12316.67,13266.67,14008.33,13701.39",4,"Total State and Local Government,12741.67,12758.33,12775.0,12733.33,13008.33,13175.0,13375.0,13525.0,13616.67,13716.67,12625.0,12316.67,13266.67,14008.33,13701.39"
"State Government,3075.0,3175.0,3275.0,3350.0,3441.67,3450.0,3500.0,3433.33,3466.67,3516.67,3341.67,3100.0,3333.33,3600.0,3509.72",5,"Total State and Local Government,12741.67,12758.33,12775.0,12733.33,13008.33,13175.0,13375.0,13525.0,13616.67,13716.67,12625.0,12316.67,13266.67,14008.33,13701.39"
"State Government Educational Services,1850.0,1983.33,2033.33,2108.33,2150.0,2133.33,2200.0,2158.33,2150.0,2158.33,1958.33,1683.33,1866.67,2066.67,2060.42",5,"Total State and Local Government,12741.67,12758.33,12775.0,12733.33,13008.33,13175.0,13375.0,13525.0,13616.67,13716.67,12625.0,12316.67,13266.67,14008.33,13701.39"
"State Government Excluding Education,1225.0,1191.67,1241.67,1241.67,1291.67,1316.67,1283.33,1275.0,1325.0,1358.33,1391.67,1416.67,1500.0,1525.0,1440.97",6,"Total State and Local Government,12741.67,12758.33,12775.0,12733.33,13008.33,13175.0,13375.0,13525.0,13616.67,13716.67,12625.0,12316.67,13266.67,14008.33,13701.39"
"Local Government,9666.67,9583.33,9500.0,9383.33,9566.67,9725.0,9883.33,10091.67,10166.67,10191.67,9291.67,9216.67,9941.67,10408.33,10200.0",5,"Total State and Local Government,12741.67,12758.33,12775.0,12733.33,13008.33,13175.0,13375.0,13525.0,13616.67,13716.67,12625.0,12316.67,13266.67,14008.33,13701.39"
"TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average",0,
"Civilian Labor Force,79108.33,79625.0,79350.0,78158.33,78258.33,76750.0,75183.33,72058.33,71125.0,73533.33,71533.33,68866.67,69925.0,73291.67,75716.67",0,
"Civilian Employment,55841.67,56308.33,57366.67,58408.33,59275.0,57875.0,57016.67,57883.33,57775.0,58291.67,55358.33,56841.67,59516.67,60633.33,59508.33",1,
"Civilian Unemployment,23241.67,23300.0,21991.67,19766.67,19008.33,18891.67,18175.0,14166.67,13350.0,15241.67,16183.33,12025.0,10425.0,12658.33,16192.36",1,
"Civilian Unemployment Rate,0.29,0.29,0.28,0.25,0.24,0.25,0.24,0.2,0.19,0.21,0.23,0.17,0.15,0.17,0.21",0,
"Total Wage and Salary,58000.0,59091.67,60575.0,62225.0,64025.0,64750.0,63533.33,64858.33,64958.33,65475.0,61658.33,63833.33,66308.33,67400.0,65534.72",0,
"Total Farm,9091.67,10366.67,10750.0,11050.0,12300.0,13250.0,12058.33,12308.33,11725.0,11250.0,10358.33,10700.0,9933.33,9383.33,10238.2",1,
"Total Nonfarm,48908.33,48725.0,49825.0,51175.0,51725.0,51500.0,51475.0,52550.0,53233.33,54225.0,51300.0,53133.33,56375.0,58016.67,55296.53",0,
"Total Private,30466.67,30583.33,31908.33,33466.67,33833.33,33600.0,33233.33,34066.67,34358.33,35083.33,32983.33,34741.67,36883.33,38108.33,36079.86",2,
"Goods Producing,3916.67,3975.0,4241.67,4508.33,4016.67,3666.67,3000.0,3258.33,3350.0,3666.67,3850.0,4091.67,4341.67,4366.67,4271.53",2,
"""      Mining, Logging and Construction"",1241.67,1350.0,1541.67,2025.0,2341.67,2550.0,1816.67,1783.33,1783.33,1916.67,1866.67,1950.0,2058.33,2008.33,1916.67",0,
"Manufacturing,2675.0,2625.0,2700.0,2483.33,1675.0,1116.67,1183.33,1475.0,1566.67,1750.0,1983.33,2141.67,2283.33,2358.33,2354.86",3,
"Durable Goods,600.0,566.67,600.0,600.0,600.0,600.0,600.0,700.0,666.67,625.0,691.67,733.33,800.0,800.0,688.89",0,
"Non-Durable Goods,2075.0,2058.33,2100.0,1883.33,1075.0,516.67,583.33,775.0,900.0,1125.0,1291.67,1408.33,1483.33,1558.33,1665.97",0,
"Service-Providing,44991.67,44750.0,45583.33,46666.67,47708.33,47833.33,48475.0,49291.67,49883.33,50558.33,47450.0,49041.67,52033.33,53650.0,51025.0",0,
"Private Service Providing,26550.0,26608.33,27666.67,28958.33,29816.67,29933.33,30233.33,30808.33,31008.33,31416.67,29133.33,30650.0,32541.67,33741.67,31808.33",2,
"""      Trade, Transportation, and Utilities"",10358.33,10450.0,10858.33,11208.33,11900.0,12066.67,11975.0,11950.0,11991.67,11908.33,11066.67,11991.67,12391.67,12458.33,11864.58",0,
"Wholesale Trade,1616.67,1691.67,1716.67,1766.67,1766.67,1766.67,1800.0,1775.0,1766.67,1783.33,1725.0,1725.0,1791.67,1733.33,1704.86",4,"Wholesale Trade,1616.67,1691.67,1716.67,1766.67,1766.67,1766.67,1800.0,1775.0,1766.67,1783.33,1725.0,1725.0,1791.67,1733.33,1704.86"
"Retail Trade,6916.67,6991.67,7316.67,7466.67,8058.33,8233.33,8025.0,8016.67,8016.67,7933.33,7191.67,7916.67,8108.33,8191.67,7870.83",4,"Retail Trade,6916.67,6991.67,7316.67,7466.67,8058.33,8233.33,8025.0,8016.67,8016.67,7933.33,7191.67,7916.67,8108.33,8191.67,7870.83"
"""        Transportation, Warehousing, and Utilities"",1825.0,1766.67,1825.0,1975.0,2075.0,2066.67,2150.0,2158.33,2208.33,2191.67,2150.0,2350.0,2491.67,2533.33,2288.89",0,"Retail Trade,6916.67,6991.67,7316.67,7466.67,8058.33,8233.33,8025.0,8016.67,8016.67,7933.33,7191.67,7916.67,8108.33,8191.67,7870.83"
